acc,nmi,ari,ri
0.46375,0.18634768186133763,0.15204870907581414,0.682065391347837
0.467,0.20886285651326594,0.17358896893780718,0.6897525631407851
0.4405,0.1949989619731587,0.15813574644203024,0.6843033258314578
0.4485,0.20604339895532078,0.16599266082101008,0.6873015753938485
0.46075,0.20794453510669908,0.1681851676164209,0.6880375093773443
0.4555,0.21052279734930684,0.17304942957353975,0.6898248312078019
0.46875,0.21114839718325773,0.1681156975457603,0.6879428607151788
0.4495,0.2026093033054424,0.16125419216807824,0.6853754688672168
0.46125,0.21723513702227865,0.1705718403291047,0.6888410852713178
0.46075,0.21484601393479186,0.16900330485039952,0.6882174293573393
0.4365,0.22006697575244924,0.16539906947296995,0.6867761940485121
0.4525,0.22925707663762435,0.16708712654220412,0.6876530382595649
0.4215,0.24447079021096604,0.16916578299078472,0.6883533383345837
0.43025,0.2449681632045355,0.172086326096421,0.6894592398099525
0.43725,0.24757443293469816,0.17305354873015671,0.6898940985246311
0.44725,0.2501738142927535,0.17697385406010477,0.6914374843710928
0.4435,0.2478618144312899,0.1750051663731707,0.6906762940735184
0.45075,0.2520121131742094,0.1795426295511573,0.6923694673668417
0.44125,0.25458802085288496,0.17768157365624856,0.6915455113778445
0.45625,0.2575986077661784,0.18320898391346088,0.6935807701925482
0.454,0.25554241625974566,0.18212291172257725,0.6922959489872468
0.46675,0.2673184983230166,0.19210441038752438,0.6968885971492873
0.49575,0.27026582161697815,0.19911333114860164,0.6994779944986247
0.46775,0.270926012030853,0.19460830070716875,0.6972006751687922
0.4675,0.285038085515051,0.20295991907358524,0.7009803700925231
0.5125,0.30166020662632603,0.2239110246945332,0.708946111527882
0.45375,0.2836853615342761,0.19651326404995872,0.6986980495123781
0.447,0.27441379256646914,0.19137718307619367,0.6963694673668417
0.48275,0.27541216766623683,0.20030035357725404,0.6996735433858464
0.45825,0.2829395598660099,0.19787757810649542,0.6986282820705176
0.501,0.29335479591456765,0.21660311876471147,0.7059591147786947
0.46825,0.27051003363435433,0.19837879554091511,0.6988194548637159
0.4535,0.31033035418215005,0.21989128617555323,0.7067963240810202
0.50625,0.3121473507312388,0.23059319084126725,0.710930607651913
0.46775,0.29986507309388694,0.20858949437217694,0.7025012503125782
0.51525,0.29115648051914167,0.21673206625015531,0.706025631407852
0.478,0.28519960456343896,0.2032012839038523,0.7004699924981246
0.49225,0.3042623951818322,0.21455191765874881,0.7051079019754939
0.49875,0.2927092184614828,0.21323569330107786,0.7047461865466367
0.483,0.2969728066592415,0.21081165435308352,0.7035752688172043
0.45075,0.28902741197527876,0.2043925105750819,0.7015847711927982
0.4655,0.27509175281957526,0.19304977388036215,0.6970398849712428
0.47375,0.2843042259513801,0.20129129202197782,0.7005385096274068
0.45325,0.30164243789788436,0.20611418654905342,0.7016732933233308
0.501,0.31671643088261975,0.2308476486484176,0.7115286321580395
0.45925,0.29839521285964393,0.20820448322048374,0.7029163540885222
0.4905,0.3088536776338694,0.22203223783753417,0.7080696424106027
0.509,0.3202214644363259,0.23249870940675652,0.7121904226056515
0.50675,0.31623019495086124,0.2331282662930979,0.712470992748187
0.52,0.316798594573896,0.23444884073270214,0.7127285571392848
0.50925,0.3213232530647537,0.2358165376611548,0.7133494623655914
0.56525,0.3582798575082034,0.2913176342772338,0.7340871467866966
0.586,0.37140273190962136,0.2977964501947415,0.7366835458864717
0.601,0.39137634304776864,0.33274758922256853,0.7488348337084271
0.55325,0.3578151503402347,0.27442354782956985,0.7274547386846711
0.5115,0.3392482133063059,0.2455336845617719,0.7169581145286321
0.5155,0.3436999037144364,0.25149727011332174,0.7175610152538134
0.56775,0.38877595635141443,0.3037652447368484,0.73865503875969
0.541,0.36669092989425117,0.27857871361532555,0.7292519379844962
